"GRANT NUMBER","BUDGET ENTITY","HEAD OF ACCOUNT","HEAD DESCRIPTION","HEAD DESCRIPTION ASSAMESE","Major Head","Sub-Major Head","Minor Head","Sub-Minor Head","Detailed Head","Object Head","Voucher Head","Scheme","Area","Voted_Charged","Actuals_2016_17","Budget_Estimates_2017_18","Revised_Estimates_2017_18","Budget_Estimates_2018_19"
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0287-000-01-02-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Advocate.$NULL$Salaries$Dearness Allowance","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$মৰগীয়া বানচ","Administration of Justice","NULL","Legal Advisers and Counsels","Government Advocate.","NULL","Salaries","Dearness Allowance","Establishmet Expenditure","General Area","Voted",0,170,170,10.6
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0287-000-01-05-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Advocate.$NULL$Salaries$Leave Travel Concession","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$ছুটী কালীন ভ্ৰমণ ৰেহাই","Administration of Justice","NULL","Legal Advisers and Counsels","Government Advocate.","NULL","Salaries","Leave Travel Concession","Establishmet Expenditure","General Area","Voted",0,2,2,2.2
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0287-000-01-08-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Advocate.$NULL$Salaries$Medical Reimbursement","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$চিকিৎসাজনিত ব্যয় পৰিশোধ","Administration of Justice","NULL","Legal Advisers and Counsels","Government Advocate.","NULL","Salaries","Medical Reimbursement","Establishmet Expenditure","General Area","Voted",0,7,7,7.7
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0287-000-03-00-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Advocate.$NULL$Travel Expenses$NULL","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$ ভ্ৰমণ খৰচ$NULL","Administration of Justice","NULL","Legal Advisers and Counsels","Government Advocate.","NULL","Travel Expenses","NULL","Establishmet Expenditure","General Area","Voted",0.71,2,2,0
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0287-000-05-99-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Advocate.$NULL$Payment for Professional and Special Services$Others","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$বৃত্তিগত আৰু বিশেষ সেৱাসমূহৰ বাবে পৰিশোধ$অন্যান্য","Administration of Justice","NULL","Legal Advisers and Counsels","Government Advocate.","NULL","Payment for Professional and Special Services","Others","Establishmet Expenditure","General Area","Voted",170.31,710,710,710
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0306-000-01-02-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Advocate General$NULL$Salaries$Dearness Allowance","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$মৰগীয়া বানচ","Administration of Justice","NULL","Legal Advisers and Counsels","Advocate General","NULL","Salaries","Dearness Allowance","Establishmet Expenditure","General Area","Voted",0,45,45,4
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0306-000-01-08-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Advocate General$NULL$Salaries$Medical Reimbursement","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$চিকিৎসাজনিত ব্যয় পৰিশোধ","Administration of Justice","NULL","Legal Advisers and Counsels","Advocate General","NULL","Salaries","Medical Reimbursement","Establishmet Expenditure","General Area","Voted",0,1.4,6.9,2
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0306-000-01-16-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Advocate General$NULL$Salaries$Fixed Pay","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$নিৰ্দ্ধাৰিত দৰমহা","Administration of Justice","NULL","Legal Advisers and Counsels","Advocate General","NULL","Salaries","Fixed Pay","Establishmet Expenditure","General Area","Voted",0,15,15,16
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0306-000-02-99-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Advocate General$NULL$Wages$Others","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$মজুৰি$অন্যান্য","Administration of Justice","NULL","Legal Advisers and Counsels","Advocate General","NULL","Wages","Others","Establishmet Expenditure","General Area","Voted",3.27,11.2,11.2,7.2
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0306-000-03-00-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Advocate General$NULL$Travel Expenses$NULL","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$ ভ্ৰমণ খৰচ$NULL","Administration of Justice","NULL","Legal Advisers and Counsels","Advocate General","NULL","Travel Expenses","NULL","Establishmet Expenditure","General Area","Voted",0.32,4.4,16.4,0
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0306-000-04-99-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Advocate General$NULL$Office Expenses$Others","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$কাৰ্য্যালয় ব্যয়$অন্যান্য","Administration of Justice","NULL","Legal Advisers and Counsels","Advocate General","NULL","Office Expenses","Others","Establishmet Expenditure","General Area","Voted",3.65,32.5,32.5,33
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0307-000-01-02-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Legal Remembrances$NULL$Salaries$Dearness Allowance","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$মৰগীয়া বানচ","Administration of Justice","NULL","Legal Advisers and Counsels","Legal Remembrances","NULL","Salaries","Dearness Allowance","Establishmet Expenditure","General Area","Voted",0,9.5,9.5,1.5
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0307-000-01-08-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Legal Remembrances$NULL$Salaries$Medical Reimbursement","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$চিকিৎসাজনিত ব্যয় পৰিশোধ","Administration of Justice","NULL","Legal Advisers and Counsels","Legal Remembrances","NULL","Salaries","Medical Reimbursement","Establishmet Expenditure","General Area","Voted",0,1.2,2.2,2.2
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0307-000-03-00-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Legal Remembrances$NULL$Travel Expenses$NULL","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$ ভ্ৰমণ খৰচ$NULL","Administration of Justice","NULL","Legal Advisers and Counsels","Legal Remembrances","NULL","Travel Expenses","NULL","Establishmet Expenditure","General Area","Voted",0,0.55,0.55,0
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0307-000-04-99-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Legal Remembrances$NULL$Office Expenses$Others","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$কাৰ্য্যালয় ব্যয়$অন্যান্য","Administration of Justice","NULL","Legal Advisers and Counsels","Legal Remembrances","NULL","Office Expenses","Others","Establishmet Expenditure","General Area","Voted",0,10,10,11
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0307-000-32-99-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Legal Remembrances$NULL$Grants-in-aid General (Non-Salary)$Others","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$সাহায্য মঞ্জুৰী সাধাৰণ (অনা-দৰমহা)$অন্যান্য","Administration of Justice","NULL","Legal Advisers and Counsels","Legal Remembrances","NULL","Grants-in-aid General (Non-Salary)","Others","Establishmet Expenditure","General Area","Voted",10,11,11,12
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0308-000-01-16-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Counsel for Supreme Court$NULL$Salaries$Fixed Pay","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$$NULL$দৰমহা$নিৰ্দ্ধাৰিত দৰমহা","Administration of Justice","NULL","Legal Advisers and Counsels","Counsel for Supreme Court","NULL","Salaries","Fixed Pay","Establishmet Expenditure","General Area","Voted",0,7.2,7.2,7.5
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0308-000-04-99-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Counsel for Supreme Court$NULL$Office Expenses$Others","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$$NULL$কাৰ্য্যালয় ব্যয়$অন্যান্য","Administration of Justice","NULL","Legal Advisers and Counsels","Counsel for Supreme Court","NULL","Office Expenses","Others","Establishmet Expenditure","General Area","Voted",0,1.2,1.2,1.3
"3 - Administration of justice","Judicial Department (D)","2014-00-800-0313-000-01-02-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Law Research Institute Eastern Region$NULL$Salaries$Dearness Allowance","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$মৰগীয়া বানচ","Administration of Justice","NULL","Other Expenditure","Law Research Institute Eastern Region","NULL","Salaries","Dearness Allowance","Establishmet Expenditure","General Area","Voted",0,31.5,31.5,2.8
"3 - Administration of justice","Judicial Department (D)","2014-00-800-0313-000-03-00-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Law Research Institute Eastern Region$NULL$Travel Expenses$NULL","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$ ভ্ৰমণ খৰচ$NULL","Administration of Justice","NULL","Other Expenditure","Law Research Institute Eastern Region","NULL","Travel Expenses","NULL","Establishmet Expenditure","General Area","Voted",0,0.8,0.8,0
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0264-000-01-02-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Industrial Tribunal, Guwahati$NULL$Salaries$Dearness Allowance","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$মৰগীয়া বানচ","Labour & Employment","Labour","Industrial Relations","Industrial Tribunal, Guwahati","NULL","Salaries","Dearness Allowance","Establishmet Expenditure","General Area","Voted",0,45.85,45.85,10
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0264-000-01-05-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Industrial Tribunal, Guwahati$NULL$Salaries$Leave Travel Concession","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$ছুটী কালীন ভ্ৰমণ ৰেহাই","Labour & Employment","Labour","Industrial Relations","Industrial Tribunal, Guwahati","NULL","Salaries","Leave Travel Concession","Establishmet Expenditure","General Area","Voted",0,1,1,1
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0264-000-02-01-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Industrial Tribunal, Guwahati$NULL$Wages$Wages to Casual Employees","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$মজুৰি$অস্থায়ী কৰ্মচাৰীলৈ মজুৰি","Labour & Employment","Labour","Industrial Relations","Industrial Tribunal, Guwahati","NULL","Wages","Wages to Casual Employees","Establishmet Expenditure","General Area","Voted",0.62,3,3,3.3
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0264-000-03-00-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Industrial Tribunal, Guwahati$NULL$Travel Expenses$NULL","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$ ভ্ৰমণ খৰচ$NULL","Labour & Employment","Labour","Industrial Relations","Industrial Tribunal, Guwahati","NULL","Travel Expenses","NULL","Establishmet Expenditure","General Area","Voted",0,1,1,0
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0265-000-01-02-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Industrial Tribunal, Dibrugarh$NULL$Salaries$Dearness Allowance","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$মৰগীয়া বানচ","Labour & Employment","Labour","Industrial Relations","Industrial Tribunal, Dibrugarh","NULL","Salaries","Dearness Allowance","Establishmet Expenditure","General Area","Voted",0,32,32,5.52
